H,HV,HKO,PL,D,ER,PIND,MOODETUD_P,KKT,DBH,H_VALEM,V,S
26.20,6.00,0.00,KS,22.40,10,0.64010,0.64010,JO,22.40,20.838,0.45963,11.1677
14.90,4.40,0.80,KU,15.80,10,0.64010,0.64010,JO,15.80,17.598,0.16131,5.1116
34.50,4.50,2.00,KU,50.10,11,0.88644,0.88644,JO,50.10,26.594,2.90023,31.9666
22.50,7.00,2.00,KU,34.35,11,0.88644,0.88644,JO,34.35,24.224,0.99299,15.3230
17.30,6.20,0.00,VA,13.00,11,0.88644,0.88644,JO,13.00,15.669,0.10685,4.2957
29.40,17.70,0.00,LM,64.70,11,0.88644,0.88644,JO,64.70,27.880,4.55110,37.8128
16.90,4.50,0.00,LM,21.45,11,0.88644,0.88644,JO,21.45,20.456,0.29891,7.2507
11.40,4.80,0.30,KU,10.35,10,0.64010,0.64010,JO,10.35,13.385,0.05665,2.6595
12.50,4.70,0.00,PN,9.05,10,0.64010,0.64010,JO,9.05,12.059,0.04119,2.2980
8.90,3.20,0.80,KU,7.60,10,0.64010,0.64010,JO,7.60,10.392,0.02259,1.2442
9.50,0.10,0.00,KU,9.50,10,0.64010,0.64010,JO,9.50,12.535,0.04110,2.0680
11.80,4.30,1.00,KU,12.60,10,0.64010,0.64010,JO,12.60,15.356,0.08543,3.3163
9.20,2.00,0.30,KU,7.65,10,0.64010,0.64010,JO,7.65,10.453,0.02349,1.2875
11.20,4.40,0.00,KS,9.25,10,0.64010,0.64010,JO,9.25,12.273,0.03769,2.0502
12.20,2.70,0.20,KU,19.60,10,0.64010,0.64010,JO,19.60,19.640,0.20490,5.1864
10.40,4.80,0.00,RE,8.25,11,0.88644,0.88644,JO,8.25,11.165,0.02953,1.7773
14.50,4.80,0.00,VA,10.75,11,0.88644,0.88644,JO,10.75,13.764,0.06256,2.9962
8.50,3.50,3.40,KU,7.80,7,1.36565,0.09597,MO,7.80,10.634,0.02302,1.2295
9.10,3.50,0.80,KU,8.45,7,1.36565,0.09597,MO,8.45,11.394,0.03153,1.7741
13.40,5.20,0.00,PN,12.10,10,0.64010,0.64010,JO,12.10,14.950,0.07819,3.2792
16.30,3.80,0.00,KS,13.20,11,0.88644,0.88644,JO,13.20,15.822,0.10409,4.1400
14.60,5.60,0.70,KU,14.75,10,0.64010,0.64010,JO,14.75,16.924,0.13892,4.6998
15.20,9.00,0.00,LM,16.60,11,0.88644,0.88644,JO,16.60,18.076,0.16342,5.0738
9.50,2.00,0.60,KU,7.95,10,0.64010,0.64010,JO,7.95,10.813,0.02608,1.3744
26.50,8.90,3.40,KU,42.20,11,0.88644,0.88644,JO,42.20,25.589,1.66970,21.3911
7.70,2.90,0.60,KU,7.40,10,0.64010,0.64010,JO,7.40,10.145,0.01914,1.0769
15.40,4.90,0.00,LM,11.80,11,0.88644,0.88644,JO,11.80,14.698,0.08370,3.6577
13.40,3.50,0.10,KU,12.40,10,0.64010,0.64010,JO,12.40,15.196,0.09235,3.6773
10.60,6.10,0.00,VA,7.20,10,0.64010,0.64010,JO,7.20,9.894,0.02310,1.3664
15.30,4.80,0.00,LM,13.40,11,0.88644,0.88644,JO,13.40,15.972,0.10725,4.1257
11.30,4.20,0.50,KU,9.00,10,0.64010,0.64010,JO,9.00,12.005,0.04282,2.3048
19.70,5.80,1.40,KU,24.25,10,0.64010,0.64010,JO,24.25,21.520,0.46405,9.9038
6.80,2.40,0.40,KU,7.05,10,0.64010,0.64010,JO,7.05,9.704,0.01577,0.9311
9.00,2.90,0.30,KU,8.00,7,1.36565,0.09597,MO,8.00,10.873,0.02807,1.6652
12.50,6.60,0.20,KU,8.90,10,0.64010,0.64010,JO,8.90,11.896,0.04567,2.5047
18.30,6.70,0.00,LM,28.75,11,0.88644,0.88644,JO,28.75,22.903,0.57503,10.4796
16.60,8.00,0.00,KS,9.95,11,0.88644,0.88644,JO,9.95,12.993,0.06007,3.1750
10.70,3.40,0.80,KU,11.90,10,0.64010,0.64010,JO,11.90,14.783,0.07041,2.8674
14.90,2.30,0.00,RE,12.65,11,0.88644,0.88644,JO,12.65,15.396,0.09140,3.7493
8.80,3.00,0.20,KU,9.00,7,1.36565,0.09597,MO,9.00,12.005,0.03469,1.8287
13.00,1.56,0.00,TA,15.65,10,0.64010,0.64010,JO,15.65,17.505,0.12081,3.9336
15.20,1.50,0.80,KU,23.45,11,0.88644,0.88644,JO,23.45,21.235,0.34675,7.5101
19.14,9.00,7.70,KU,33.20,7,1.36565,0.09597,MO,33.20,23.982,0.80677,12.7334
8.70,3.10,0.40,KU,8.30,10,0.64010,0.64010,JO,8.30,11.223,0.02932,1.6727
11.90,5.10,0.70,KU,11.80,10,0.64010,0.64010,JO,11.80,14.698,0.07579,3.1392
12.20,5.50,1.50,KU,15.35,10,0.64010,0.64010,JO,15.35,17.316,0.12854,4.1259
6.90,2.00,0.40,KU,8.25,7,1.36565,0.09597,MO,8.25,11.165,0.02390,1.3441
14.90,5.10,1.10,KU,17.10,10,0.64010,0.64010,JO,17.10,18.361,0.18761,5.5054
7.20,3.10,0.70,KU,7.80,10,0.64010,0.64010,JO,7.80,10.634,0.02028,1.0766
26.60,15.30,13.20,KU,47.15,7,1.36565,0.09597,MO,47.15,26.252,2.03592,23.4987
17.60,6.90,0.00,LM,14.20,11,0.88644,0.88644,JO,14.20,16.549,0.13630,5.0052
16.40,2.40,0.40,KU,20.45,11,0.88644,0.88644,JO,20.45,20.027,0.28642,7.1170
26.70,8.90,0.00,KS,18.60,10,0.64010,0.64010,JO,18.60,19.155,0.32274,9.4523
13.00,3.00,0.00,KS,8.90,11,0.88644,0.88644,JO,8.90,11.896,0.03927,2.2604
14.10,3.00,0.00,LM,26.85,11,0.88644,0.88644,JO,26.85,22.361,0.39899,7.6145
19.40,4.80,0.00,KS,14.45,10,0.64010,0.64010,JO,14.45,16.721,0.14501,5.3529
7.20,2.30,0.00,LM,13.10,11,0.88644,0.88644,JO,13.10,15.746,0.05605,2.0186
14.80,4.90,0.00,KS,11.25,11,0.88644,0.88644,JO,11.25,14.219,0.06974,3.2224
9.60,4.50,0.00,PI,7.45,11,0.88644,0.88644,JO,7.45,10.207,0.02297,1.2994
5.60,2.40,0.60,KU,7.30,7,1.36565,0.09597,MO,7.30,10.020,0.01459,0.8363
10.40,3.80,0.50,KU,9.60,7,1.36565,0.09597,MO,9.60,12.639,0.04527,2.2714
12.80,4.50,0.00,KS,7.30,11,0.88644,0.88644,JO,7.30,10.020,0.02745,1.6337
12.30,5.90,0.80,KU,11.05,10,0.64010,0.64010,JO,11.05,14.040,0.06864,3.0398
13.60,2.70,0.60,KU,12.30,11,0.88644,0.88644,JO,12.30,15.115,0.09208,3.6999
22.70,10.00,0.00,KS,18.50,11,0.88644,0.88644,JO,18.50,19.105,0.27393,7.9914
7.00,0.50,0.00,KU,8.40,11,0.88644,0.88644,JO,8.40,11.337,0.02506,1.3860
35.80,10.80,7.60,KU,44.40,11,0.88644,0.88644,JO,44.40,25.899,2.43753,30.1188
22.90,12.70,0.00,KS,15.55,10,0.64010,0.64010,JO,15.55,17.442,0.19511,6.7757
13.00,2.30,0.50,KU,16.55,11,0.88644,0.88644,JO,16.55,18.047,0.15673,4.6988
9.20,2.70,0.00,SP,7.10,7,1.36565,0.09597,MO,7.10,9.768,0.02015,1.1949
18.90,6.80,0.40,KU,27.10,10,0.64010,0.64010,JO,27.10,22.436,0.54967,10.5199
9.00,1.30,0.50,KU,10.05,11,0.88644,0.88644,JO,10.05,13.092,0.04384,2.0773
17.70,3.50,1.10,KU,27.35,10,0.64010,0.64010,JO,27.35,22.509,0.52747,9.9638
21.90,7.30,0.00,LM,28.25,11,0.88644,0.88644,JO,28.25,22.766,0.65680,12.3154
17.20,7.90,0.00,KS,8.95,11,0.88644,0.88644,JO,8.95,11.951,0.05009,2.9538
18.20,7.70,0.00,KS,13.45,11,0.88644,0.88644,JO,13.45,16.009,0.11879,4.6853
9.20,3.00,0.50,KU,8.30,10,0.64010,0.64010,JO,8.30,11.223,0.03073,1.7612
25.00,10.70,9.20,KU,25.20,7,1.36565,0.09597,MO,25.20,21.842,0.61992,12.9144
20.30,6.50,0.00,LM,22.45,11,0.88644,0.88644,JO,22.45,20.857,0.38702,9.0863
29.90,9.70,9.60,KU,59.50,11,0.88644,0.88644,JO,59.50,27.485,3.38799,31.5732
17.60,10.00,2.20,KU,21.20,7,1.36565,0.09597,MO,21.20,20.351,0.32622,7.8666
8.30,2.90,0.90,KU,7.30,10,0.64010,0.64010,JO,7.30,10.020,0.01971,1.1285
13.30,4.80,0.50,KU,13.70,11,0.88644,0.88644,JO,13.70,16.193,0.11121,4.0153
20.00,6.90,6.90,KU,24.10,10,0.64010,0.64010,JO,24.10,21.468,0.46499,9.9921
